data,area,totale,m,f,d,N1,N2,ISTAT,reg
2024-12-18,SAR,53,22,31,53,ITG,ITG2,20,Sardegna
2025-06-17,LOM,2,1,1,2,ITC,ITC4,3,Lombardia
2025-10-28,EMR,5,3,2,5,ITH,ITH5,8,Emilia-Romagna
2025-10-17,FVG,7,2,5,7,ITH,ITH4,6,Friuli-Venezia Giulia
2025-03-13,PIE,13,7,6,13,ITC,ITC1,1,Piemonte
2024-11-29,LIG,295,127,168,295,ITC,ITC3,7,Liguria
2024-11-21,VEN,2530,1210,1320,2530,ITH,ITH3,5,Veneto
2024-12-09,EMR,951,459,492,951,ITH,ITH5,8,Emilia-Romagna
2024-10-31,LOM,7470,3524,3946,7470,ITC,ITC4,3,Lombardia
2024-12-02,PIE,795,380,415,795,ITC,ITC1,1,Piemonte
2025-01-10,LIG,63,25,38,63,ITC,ITC3,7,Liguria
2024-11-22,VEN,2446,1167,1279,2446,ITH,ITH3,5,Veneto
2025-02-12,LAZ,39,22,17,39,ITI,ITI4,12,Lazio
2025-09-29,LAZ,1,1,0,1,ITI,ITI4,12,Lazio
2025-02-20,LAZ,9,5,4,9,ITI,ITI4,12,Lazio
2024-10-10,EMR,1670,831,839,1670,ITH,ITH5,8,Emilia-Romagna
2025-01-16,VDA,1,0,1,1,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-07-15,PUG,2,1,1,2,ITF,ITF4,16,Puglia
2024-11-14,PIE,2323,1073,1250,2323,ITC,ITC1,1,Piemonte
2024-11-22,CAL,79,46,33,79,ITF,ITF6,18,Calabria
2025-03-10,LAZ,8,5,3,8,ITI,ITI4,12,Lazio
2025-01-20,UMB,10,6,4,10,ITI,ITI2,10,Umbria
2024-11-22,PUG,844,417,427,844,ITF,ITF4,16,Puglia
2025-04-23,TOS,1,1,0,1,ITI,ITI1,9,Toscana
2024-10-10,ABR,54,38,16,54,ITF,ITF1,13,Abruzzo
2024-11-13,SIC,164,90,74,164,ITG,ITG1,19,Sicilia
2024-10-05,LOM,4001,2109,1892,4001,ITC,ITC4,3,Lombardia
2024-10-11,PUG,127,67,60,127,ITF,ITF4,16,Puglia
2025-03-28,EMR,6,3,3,6,ITH,ITH5,8,Emilia-Romagna
2025-07-01,PUG,1,1,0,1,ITF,ITF4,16,Puglia
2024-11-13,LAZ,1945,929,1016,1945,ITI,ITI4,12,Lazio
2025-06-27,LOM,2,2,0,2,ITC,ITC4,3,Lombardia
2024-10-15,FVG,30,17,13,30,ITH,ITH4,6,Friuli-Venezia Giulia
2024-11-15,ABR,58,24,34,58,ITF,ITF1,13,Abruzzo
2024-11-07,EMR,6506,3143,3363,6506,ITH,ITH5,8,Emilia-Romagna
2025-02-01,CAM,2,2,0,2,ITF,ITF3,15,Campania
2025-02-25,EMR,24,8,16,24,ITH,ITH5,8,Emilia-Romagna
2024-10-28,PUG,397,216,181,397,ITF,ITF4,16,Puglia
2024-11-09,PIE,809,386,423,809,ITC,ITC1,1,Piemonte
2024-12-17,TOS,312,146,166,312,ITI,ITI1,9,Toscana
2024-10-19,UMB,33,13,20,33,ITI,ITI2,10,Umbria
2024-10-22,TOS,2019,943,1076,2019,ITI,ITI1,9,Toscana
2024-10-08,EMR,1286,648,638,1286,ITH,ITH5,8,Emilia-Romagna
2024-09-20,TOS,4,3,1,4,ITI,ITI1,9,Toscana
2024-10-23,VDA,230,115,115,230,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2024-12-11,PAT,249,99,150,249,ITH,ITH2,4,Provincia Autonoma Trento
2024-12-09,ABR,98,48,50,98,ITF,ITF1,13,Abruzzo
2025-01-24,PUG,53,22,31,53,ITF,ITF4,16,Puglia
2024-10-21,PIE,834,397,437,834,ITC,ITC1,1,Piemonte
2024-12-13,PAT,78,30,48,78,ITH,ITH2,4,Provincia Autonoma Trento
2024-12-05,UMB,222,117,105,222,ITI,ITI2,10,Umbria
2025-02-28,LOM,20,11,9,20,ITC,ITC4,3,Lombardia
2024-10-31,CAM,117,65,52,117,ITF,ITF3,15,Campania
2025-02-24,SIC,4,3,1,4,ITG,ITG1,19,Sicilia
2025-02-17,LIG,3,0,3,3,ITC,ITC3,7,Liguria
2024-11-24,LAZ,60,29,31,60,ITI,ITI4,12,Lazio
2024-11-18,EMR,2696,1256,1440,2696,ITH,ITH5,8,Emilia-Romagna
2024-10-31,LIG,664,340,324,664,ITC,ITC3,7,Liguria
2024-10-25,UMB,367,183,184,367,ITI,ITI2,10,Umbria
2024-11-15,VDA,107,51,56,107,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2024-09-23,LOM,17,8,9,17,ITC,ITC4,3,Lombardia
2024-12-21,ABR,31,12,19,31,ITF,ITF1,13,Abruzzo
2024-12-03,TOS,846,393,453,846,ITI,ITI1,9,Toscana
2024-10-14,PAB,5,4,1,5,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2024-11-22,PAT,218,110,108,218,ITH,ITH2,4,Provincia Autonoma Trento
2024-11-12,PIE,1981,913,1068,1981,ITC,ITC1,1,Piemonte
2025-03-19,LOM,47,11,36,47,ITC,ITC4,3,Lombardia
2024-12-04,ABR,102,49,53,102,ITF,ITF1,13,Abruzzo
2024-10-23,ABR,120,55,65,120,ITF,ITF1,13,Abruzzo
2024-12-27,LOM,355,145,210,355,ITC,ITC4,3,Lombardia
2025-01-23,EMR,121,64,57,121,ITH,ITH5,8,Emilia-Romagna
2025-02-11,PUG,14,8,6,14,ITF,ITF4,16,Puglia
2025-03-13,ABR,6,3,3,6,ITF,ITF1,13,Abruzzo
2024-10-02,CAM,19,12,7,19,ITF,ITF3,15,Campania
2024-10-28,PAT,244,114,130,244,ITH,ITH2,4,Provincia Autonoma Trento
2025-03-17,TOS,3,1,2,3,ITI,ITI1,9,Toscana
2024-11-07,LOM,8798,4070,4728,8798,ITC,ITC4,3,Lombardia
2024-11-29,CAM,186,109,77,186,ITF,ITF3,15,Campania
2024-12-13,PUG,476,219,257,476,ITF,ITF4,16,Puglia
2025-04-01,TOS,2,1,1,2,ITI,ITI1,9,Toscana
2024-12-15,EMR,61,22,39,61,ITH,ITH5,8,Emilia-Romagna
2024-10-30,LAZ,2114,1010,1104,2114,ITI,ITI4,12,Lazio
2024-12-11,PUG,520,265,255,520,ITF,ITF4,16,Puglia
2024-11-14,TOS,3014,1400,1614,3014,ITI,ITI1,9,Toscana
2025-01-09,TOS,62,29,33,62,ITI,ITI1,9,Toscana
2024-10-20,EMR,274,131,143,274,ITH,ITH5,8,Emilia-Romagna
2024-11-30,MAR,28,13,15,28,ITI,ITI3,11,Marche
2024-10-04,CAM,11,7,4,11,ITF,ITF3,15,Campania
2025-01-24,PAT,2,1,1,2,ITH,ITH2,4,Provincia Autonoma Trento
2025-10-25,TOS,21,10,11,21,ITI,ITI1,9,Toscana
2024-12-01,MAR,2,0,2,2,ITI,ITI3,11,Marche
2025-01-07,MAR,24,15,9,24,ITI,ITI3,11,Marche
2025-10-23,FVG,4,1,3,4,ITH,ITH4,6,Friuli-Venezia Giulia
2025-02-04,LIG,13,5,8,13,ITC,ITC3,7,Liguria
2025-01-10,CAM,19,7,12,19,ITF,ITF3,15,Campania
2025-02-11,FVG,9,7,2,9,ITH,ITH4,6,Friuli-Venezia Giulia
2025-11-14,VEN,1,0,1,1,ITH,ITH3,5,Veneto
2024-12-31,PIE,19,7,12,19,ITC,ITC1,1,Piemonte
2025-01-08,ABR,6,4,2,6,ITF,ITF1,13,Abruzzo
2024-10-27,MAR,3,1,2,3,ITI,ITI3,11,Marche
2024-10-11,PAT,92,44,48,92,ITH,ITH2,4,Provincia Autonoma Trento
2025-11-18,PAB,5,1,4,5,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-01-27,UMB,17,6,11,17,ITI,ITI2,10,Umbria
2025-04-02,LOM,46,14,32,46,ITC,ITC4,3,Lombardia
2025-03-05,SIC,2,2,0,2,ITG,ITG1,19,Sicilia
2025-02-19,PUG,4,2,2,4,ITF,ITF4,16,Puglia
2025-04-08,LAZ,8,3,5,8,ITI,ITI4,12,Lazio
2025-08-11,LOM,1,1,0,1,ITC,ITC4,3,Lombardia
2025-08-06,FVG,1,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2025-02-19,PAT,6,2,4,6,ITH,ITH2,4,Provincia Autonoma Trento
2025-05-02,PUG,2,2,0,2,ITF,ITF4,16,Puglia
2025-10-20,MAR,3,2,1,3,ITI,ITI3,11,Marche
2025-02-11,PAT,2,0,2,2,ITH,ITH2,4,Provincia Autonoma Trento
2025-06-24,PUG,1,1,0,1,ITF,ITF4,16,Puglia
2025-08-01,MAR,2,1,1,2,ITI,ITI3,11,Marche
2025-11-21,FVG,3,0,3,3,ITH,ITH4,6,Friuli-Venezia Giulia
2025-01-18,FVG,2,1,1,2,ITH,ITH4,6,Friuli-Venezia Giulia
2024-11-24,SIC,5,3,2,5,ITG,ITG1,19,Sicilia
2024-12-16,CAL,40,19,21,40,ITF,ITF6,18,Calabria
2024-10-10,VEN,849,389,460,849,ITH,ITH3,5,Veneto
2024-11-15,UMB,323,169,154,323,ITI,ITI2,10,Umbria
2024-11-12,CAL,57,36,21,57,ITF,ITF6,18,Calabria
2024-10-22,LOM,9760,4681,5079,9760,ITC,ITC4,3,Lombardia
2025-01-31,PIE,63,36,27,63,ITC,ITC1,1,Piemonte
2024-11-14,VEN,2538,1256,1282,2538,ITH,ITH3,5,Veneto
2025-03-31,EMR,19,6,13,19,ITH,ITH5,8,Emilia-Romagna
2024-10-21,PAT,268,143,125,268,ITH,ITH2,4,Provincia Autonoma Trento
2024-11-22,ABR,178,96,82,178,ITF,ITF1,13,Abruzzo
2025-02-21,LIG,5,2,3,5,ITC,ITC3,7,Liguria
2024-11-30,LIG,52,26,26,52,ITC,ITC3,7,Liguria
2024-10-25,VDA,156,61,95,156,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-02-14,TOS,19,10,9,19,ITI,ITI1,9,Toscana
2025-02-14,EMR,17,5,12,17,ITH,ITH5,8,Emilia-Romagna
2025-02-13,PUG,8,2,6,8,ITF,ITF4,16,Puglia
2024-11-20,SAR,233,122,111,233,ITG,ITG2,20,Sardegna
2024-11-19,CAL,64,42,22,64,ITF,ITF6,18,Calabria
2024-11-07,SAR,454,232,222,454,ITG,ITG2,20,Sardegna
2025-07-31,LOM,5,0,5,5,ITC,ITC4,3,Lombardia
2025-02-20,ABR,9,3,6,9,ITF,ITF1,13,Abruzzo
2025-03-04,LIG,8,2,6,8,ITC,ITC3,7,Liguria
2024-10-31,TOS,2360,1071,1289,2360,ITI,ITI1,9,Toscana
2024-12-20,UMB,71,35,36,71,ITI,ITI2,10,Umbria
2025-01-02,PIE,55,29,26,55,ITC,ITC1,1,Piemonte
2025-08-11,TOS,2,1,1,2,ITI,ITI1,9,Toscana
2025-02-18,TOS,13,7,6,13,ITI,ITI1,9,Toscana
2024-11-22,PIE,1907,911,996,1907,ITC,ITC1,1,Piemonte
2024-11-03,PIE,101,46,55,101,ITC,ITC1,1,Piemonte
2024-11-26,PAT,193,83,110,193,ITH,ITH2,4,Provincia Autonoma Trento
2025-01-14,SIC,30,16,14,30,ITG,ITG1,19,Sicilia
2024-11-10,FVG,15,6,9,15,ITH,ITH4,6,Friuli-Venezia Giulia
2025-06-03,LOM,7,5,2,7,ITC,ITC4,3,Lombardia
2024-12-09,CAL,51,26,25,51,ITF,ITF6,18,Calabria
2024-12-19,LOM,974,425,549,974,ITC,ITC4,3,Lombardia
2025-03-11,VEN,3,1,2,3,ITH,ITH3,5,Veneto
2025-02-26,LOM,83,32,51,83,ITC,ITC4,3,Lombardia
2024-10-05,TOS,4,3,1,4,ITI,ITI1,9,Toscana
2024-12-03,SAR,24,14,10,24,ITG,ITG2,20,Sardegna
2024-12-12,CAL,30,15,15,30,ITF,ITF6,18,Calabria
2024-11-15,LAZ,1639,822,817,1639,ITI,ITI4,12,Lazio
2024-12-06,UMB,173,77,96,173,ITI,ITI2,10,Umbria
2024-11-08,CAL,76,40,36,76,ITF,ITF6,18,Calabria
2025-10-15,EMR,14,8,6,14,ITH,ITH5,8,Emilia-Romagna
2024-11-06,TOS,2880,1305,1575,2880,ITI,ITI1,9,Toscana
2025-02-13,PAT,34,8,26,34,ITH,ITH2,4,Provincia Autonoma Trento
2024-11-17,LIG,1,0,1,1,ITC,ITC3,7,Liguria
2024-10-24,CAL,37,19,18,37,ITF,ITF6,18,Calabria
2024-12-04,LAZ,1084,486,598,1084,ITI,ITI4,12,Lazio
2025-01-17,LOM,155,64,91,155,ITC,ITC4,3,Lombardia
2024-12-25,LAZ,2,1,1,2,ITI,ITI4,12,Lazio
2024-11-08,VDA,163,82,81,163,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-10-23,CAM,18,12,6,18,ITF,ITF3,15,Campania
2025-01-03,LAZ,59,24,35,59,ITI,ITI4,12,Lazio
2024-10-14,FVG,106,48,58,106,ITH,ITH4,6,Friuli-Venezia Giulia
2025-04-28,MAR,2,1,1,2,ITI,ITI3,11,Marche
2024-11-19,MAR,596,261,335,596,ITI,ITI3,11,Marche
2024-11-18,SIC,148,78,70,148,ITG,ITG1,19,Sicilia
2024-10-15,ABR,115,61,54,115,ITF,ITF1,13,Abruzzo
2024-11-26,PUG,758,389,369,758,ITF,ITF4,16,Puglia
2024-10-02,LAZ,79,36,43,79,ITI,ITI4,12,Lazio
2024-12-06,PAB,130,64,66,130,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-01-30,LOM,94,45,49,94,ITC,ITC4,3,Lombardia
2024-12-27,TOS,67,29,38,67,ITI,ITI1,9,Toscana
2025-03-18,LAZ,5,4,1,5,ITI,ITI4,12,Lazio
2025-09-17,LOM,14,7,7,14,ITC,ITC4,3,Lombardia
2025-04-24,ABR,1,1,0,1,ITF,ITF1,13,Abruzzo
2025-06-24,PIE,2,1,1,2,ITC,ITC1,1,Piemonte
2024-09-28,TOS,3,2,1,3,ITI,ITI1,9,Toscana
2025-06-17,LAZ,6,4,2,6,ITI,ITI4,12,Lazio
2025-10-14,VDA,4,3,1,4,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-03-17,LOM,18,6,12,18,ITC,ITC4,3,Lombardia
2025-11-14,TOS,13,7,6,13,ITI,ITI1,9,Toscana
2025-09-16,EMR,3,1,2,3,ITH,ITH5,8,Emilia-Romagna
2025-06-16,LOM,2,2,0,2,ITC,ITC4,3,Lombardia
2025-10-08,MAR,4,2,2,4,ITI,ITI3,11,Marche
2025-06-24,PAB,2,1,1,2,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-01-16,UMB,15,11,4,15,ITI,ITI2,10,Umbria
2025-09-30,PUG,5,3,2,5,ITF,ITF4,16,Puglia
2025-11-04,LOM,18,11,7,18,ITC,ITC4,3,Lombardia
2025-08-22,PIE,1,1,0,1,ITC,ITC1,1,Piemonte
2025-07-30,CAM,1,0,1,1,ITF,ITF3,15,Campania
2024-12-17,MOL,3,2,1,3,ITF,ITF2,14,Molise
2025-07-24,EMR,3,1,2,3,ITH,ITH5,8,Emilia-Romagna
2025-04-23,LOM,7,2,5,7,ITC,ITC4,3,Lombardia
2025-03-27,FVG,1,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2025-04-17,UMB,2,1,1,2,ITI,ITI2,10,Umbria
2025-03-21,MAR,3,1,2,3,ITI,ITI3,11,Marche
2025-09-15,CAM,2,1,1,2,ITF,ITF3,15,Campania
2025-02-07,FVG,3,1,2,3,ITH,ITH4,6,Friuli-Venezia Giulia
2025-03-04,CAM,2,2,0,2,ITF,ITF3,15,Campania
2025-05-07,LAZ,2,0,2,2,ITI,ITI4,12,Lazio
2025-02-28,SIC,2,1,1,2,ITG,ITG1,19,Sicilia
2025-03-10,PIE,6,3,3,6,ITC,ITC1,1,Piemonte
2025-07-14,EMR,1,0,1,1,ITH,ITH5,8,Emilia-Romagna
2025-09-24,PUG,1,0,1,1,ITF,ITF4,16,Puglia
2024-11-24,CAM,3,2,1,3,ITF,ITF3,15,Campania
2024-12-21,PAT,2,1,1,2,ITH,ITH2,4,Provincia Autonoma Trento
2024-11-17,CAM,2,2,0,2,ITF,ITF3,15,Campania
2024-12-30,PAB,1,0,1,1,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-07-01,FVG,1,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2025-04-18,LOM,1,0,1,1,ITC,ITC4,3,Lombardia
2025-05-28,SIC,1,1,0,1,ITG,ITG1,19,Sicilia
2025-04-22,TOS,1,1,0,1,ITI,ITI1,9,Toscana
2024-11-11,FVG,742,340,402,742,ITH,ITH4,6,Friuli-Venezia Giulia
2024-12-10,UMB,66,29,37,66,ITI,ITI2,10,Umbria
2025-08-26,LAZ,2,1,1,2,ITI,ITI4,12,Lazio
2025-04-01,LOM,26,8,18,26,ITC,ITC4,3,Lombardia
2025-07-04,LOM,1,1,0,1,ITC,ITC4,3,Lombardia
2024-11-25,MAR,178,91,87,178,ITI,ITI3,11,Marche
2025-02-10,LOM,126,41,85,126,ITC,ITC4,3,Lombardia
2024-11-21,LIG,848,413,435,848,ITC,ITC3,7,Liguria
2025-02-14,SIC,10,3,7,10,ITG,ITG1,19,Sicilia
2025-04-10,LOM,23,12,11,23,ITC,ITC4,3,Lombardia
2024-10-22,PAT,443,194,249,443,ITH,ITH2,4,Provincia Autonoma Trento
2024-10-26,CAL,12,7,5,12,ITF,ITF6,18,Calabria
2024-12-16,ABR,106,50,56,106,ITF,ITF1,13,Abruzzo
2024-10-03,EMR,87,46,41,87,ITH,ITH5,8,Emilia-Romagna
2025-01-09,LAZ,79,34,45,79,ITI,ITI4,12,Lazio
2024-11-03,ABR,26,13,13,26,ITF,ITF1,13,Abruzzo
2024-12-07,CAM,29,12,17,29,ITF,ITF3,15,Campania
2025-01-23,UMB,8,5,3,8,ITI,ITI2,10,Umbria
2025-01-03,CAL,15,7,8,15,ITF,ITF6,18,Calabria
2024-12-06,CAM,96,47,49,96,ITF,ITF3,15,Campania
2025-10-25,VEN,29,10,19,29,ITH,ITH3,5,Veneto
2025-04-14,VEN,3,2,1,3,ITH,ITH3,5,Veneto
2024-11-21,PUG,601,330,271,601,ITF,ITF4,16,Puglia
2025-05-22,EMR,9,3,6,9,ITH,ITH5,8,Emilia-Romagna
2025-03-07,LAZ,12,3,9,12,ITI,ITI4,12,Lazio
2024-11-14,MAR,739,358,381,739,ITI,ITI3,11,Marche
2025-01-15,EMR,160,70,90,160,ITH,ITH5,8,Emilia-Romagna
2024-12-09,CAM,83,47,36,83,ITF,ITF3,15,Campania
2024-12-02,PAT,72,31,41,72,ITH,ITH2,4,Provincia Autonoma Trento
2025-02-14,PIE,20,14,6,20,ITC,ITC1,1,Piemonte
2024-11-09,LAZ,788,372,416,788,ITI,ITI4,12,Lazio
2024-10-07,VEN,247,125,122,247,ITH,ITH3,5,Veneto
2024-11-13,BAS,63,33,30,63,ITF,ITF5,17,Basilicata
2025-02-26,VEN,66,21,45,66,ITH,ITH3,5,Veneto
2024-10-02,LIG,86,43,43,86,ITC,ITC3,7,Liguria
2024-11-04,VEN,1575,732,843,1575,ITH,ITH3,5,Veneto
2024-10-29,PAT,338,181,157,338,ITH,ITH2,4,Provincia Autonoma Trento
2025-07-01,LOM,4,2,2,4,ITC,ITC4,3,Lombardia
2024-11-05,PIE,1887,829,1058,1887,ITC,ITC1,1,Piemonte
2024-10-22,VEN,1606,750,856,1606,ITH,ITH3,5,Veneto
2025-03-13,LOM,21,5,16,21,ITC,ITC4,3,Lombardia
