data,area,totale,m,f,d,N1,N2,ISTAT,reg
2025-12-11,LAZ,524,237,287,524,ITI,ITI4,12,Lazio
2025-11-26,LOM,2707,1209,1498,2707,ITC,ITC4,3,Lombardia
2026-01-02,TOS,19,6,13,19,ITI,ITI1,9,Toscana
2025-12-17,VDA,9,3,6,9,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-12-13,LAZ,164,81,83,164,ITI,ITI4,12,Lazio
2025-11-13,LOM,5921,2737,3184,5921,ITC,ITC4,3,Lombardia
2025-12-23,PAB,3,1,2,3,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-10-21,ABR,117,64,53,117,ITF,ITF1,13,Abruzzo
2025-10-13,PIE,44,19,25,44,ITC,ITC1,1,Piemonte
2026-01-30,EMR,77,46,31,77,ITH,ITH5,8,Emilia-Romagna
2025-10-27,LOM,8937,4371,4566,8937,ITC,ITC4,3,Lombardia
2025-12-18,SAR,186,101,85,186,ITG,ITG2,20,Sardegna
2025-10-25,VEN,6073,3188,2885,6073,ITH,ITH3,5,Veneto
2025-10-29,LOM,9245,4321,4924,9245,ITC,ITC4,3,Lombardia
2025-11-04,PUG,524,273,251,524,ITF,ITF4,16,Puglia
2025-12-19,UMB,77,40,37,77,ITI,ITI2,10,Umbria
2025-10-10,VEN,222,121,101,222,ITH,ITH3,5,Veneto
2025-12-30,EMR,196,95,101,196,ITH,ITH5,8,Emilia-Romagna
2026-01-13,VDA,1,0,1,1,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-11-10,PAB,69,23,46,69,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2026-01-30,VEN,55,18,37,55,ITH,ITH3,5,Veneto
2025-11-05,EMR,5885,2839,3046,5885,ITH,ITH5,8,Emilia-Romagna
2026-01-12,PUG,51,26,25,51,ITF,ITF4,16,Puglia
2026-01-08,LAZ,40,18,22,40,ITI,ITI4,12,Lazio
2025-11-03,CAM,74,39,35,74,ITF,ITF3,15,Campania
2025-12-02,MAR,154,61,93,154,ITI,ITI3,11,Marche
2026-02-16,LOM,13,4,9,13,ITC,ITC4,3,Lombardia
2025-11-06,VDA,98,42,56,98,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-10-13,FVG,50,24,26,50,ITH,ITH4,6,Friuli-Venezia Giulia
2025-11-30,ABR,20,10,10,20,ITF,ITF1,13,Abruzzo
2025-12-29,PIE,45,22,23,45,ITC,ITC1,1,Piemonte
2025-12-12,PIE,461,217,244,461,ITC,ITC1,1,Piemonte
2025-12-18,ABR,27,14,13,27,ITF,ITF1,13,Abruzzo
2025-11-06,SIC,126,69,57,126,ITG,ITG1,19,Sicilia
2025-12-23,VEN,156,57,99,156,ITH,ITH3,5,Veneto
2025-12-05,LIG,79,39,40,79,ITC,ITC3,7,Liguria
2026-01-07,FVG,20,9,11,20,ITH,ITH4,6,Friuli-Venezia Giulia
2025-10-28,ABR,129,62,67,129,ITF,ITF1,13,Abruzzo
2026-02-09,EMR,13,7,6,13,ITH,ITH5,8,Emilia-Romagna
2025-10-25,EMR,2788,1343,1445,2788,ITH,ITH5,8,Emilia-Romagna
2025-12-10,PAB,22,12,10,22,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-10-22,UMB,432,211,221,432,ITI,ITI2,10,Umbria
2025-11-18,VEN,1800,808,992,1800,ITH,ITH3,5,Veneto
2026-01-27,SAR,9,6,3,9,ITG,ITG2,20,Sardegna
2025-11-22,MAR,66,39,27,66,ITI,ITI3,11,Marche
2025-11-27,CAL,41,24,17,41,ITF,ITF6,18,Calabria
2026-01-29,PUG,6,5,1,6,ITF,ITF4,16,Puglia
2025-12-24,PIE,33,16,17,33,ITC,ITC1,1,Piemonte
2026-02-06,TOS,5,1,4,5,ITI,ITI1,9,Toscana
2025-11-07,LAZ,1434,692,742,1434,ITI,ITI4,12,Lazio
2025-12-23,EMR,226,119,107,226,ITH,ITH5,8,Emilia-Romagna
2025-12-30,LOM,283,119,164,283,ITC,ITC4,3,Lombardia
2025-11-29,FVG,61,27,34,61,ITH,ITH4,6,Friuli-Venezia Giulia
2025-11-16,PIE,85,32,53,85,ITC,ITC1,1,Piemonte
2025-11-14,PIE,2190,995,1195,2190,ITC,ITC1,1,Piemonte
2025-10-14,TOS,722,327,395,722,ITI,ITI1,9,Toscana
2026-01-02,LAZ,66,31,35,66,ITI,ITI4,12,Lazio
2025-10-20,PAB,196,93,103,196,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2026-02-17,TOS,3,1,2,3,ITI,ITI1,9,Toscana
2025-11-30,PIE,14,8,6,14,ITC,ITC1,1,Piemonte
2025-12-04,LAZ,817,386,431,817,ITI,ITI4,12,Lazio
2025-12-27,SIC,13,7,6,13,ITG,ITG1,19,Sicilia
2026-02-20,VEN,12,6,6,12,ITH,ITH3,5,Veneto
2026-01-15,LIG,5,2,3,5,ITC,ITC3,7,Liguria
2026-01-09,CAM,9,6,3,9,ITF,ITF3,15,Campania
2025-10-12,TOS,17,10,7,17,ITI,ITI1,9,Toscana
2026-02-20,EMR,31,14,17,31,ITH,ITH5,8,Emilia-Romagna
2025-12-06,TOS,35,18,17,35,ITI,ITI1,9,Toscana
2025-12-07,VEN,3,1,2,3,ITH,ITH3,5,Veneto
2026-02-19,PAT,1,0,1,1,ITH,ITH2,4,Provincia Autonoma Trento
2025-12-02,VDA,16,6,10,16,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-10-20,SIC,58,34,24,58,ITG,ITG1,19,Sicilia
2026-03-13,PUG,3,1,2,3,ITF,ITF4,16,Puglia
2026-02-19,CAM,2,1,1,2,ITF,ITF3,15,Campania
2026-01-19,TOS,10,7,3,10,ITI,ITI1,9,Toscana
2026-02-18,SAR,3,2,1,3,ITG,ITG2,20,Sardegna
2025-10-19,FVG,17,5,12,17,ITH,ITH4,6,Friuli-Venezia Giulia
2026-01-23,PAT,2,1,1,2,ITH,ITH2,4,Provincia Autonoma Trento
2025-12-20,LIG,6,0,6,6,ITC,ITC3,7,Liguria
2026-01-15,PAB,2,2,0,2,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-10-09,PIE,4,2,2,4,ITC,ITC1,1,Piemonte
2025-10-09,PUG,111,69,42,111,ITF,ITF4,16,Puglia
2025-10-08,FVG,43,20,23,43,ITH,ITH4,6,Friuli-Venezia Giulia
2025-11-06,LAZ,1469,714,755,1469,ITI,ITI4,12,Lazio
2025-12-02,TOS,536,255,281,536,ITI,ITI1,9,Toscana
2026-02-16,PIE,39,19,20,39,ITC,ITC1,1,Piemonte
2025-12-15,FVG,100,49,51,100,ITH,ITH4,6,Friuli-Venezia Giulia
2025-12-01,VDA,24,12,12,24,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-11-16,PUG,19,11,8,19,ITF,ITF4,16,Puglia
2025-10-28,EMR,6413,3102,3311,6413,ITH,ITH5,8,Emilia-Romagna
2025-10-27,VEN,1284,598,686,1284,ITH,ITH3,5,Veneto
2025-11-08,LIG,52,26,26,52,ITC,ITC3,7,Liguria
2025-12-09,EMR,849,384,465,849,ITH,ITH5,8,Emilia-Romagna
2025-12-11,MAR,77,34,43,77,ITI,ITI3,11,Marche
2025-12-12,ABR,59,33,26,59,ITF,ITF1,13,Abruzzo
2025-11-29,PUG,31,18,13,31,ITF,ITF4,16,Puglia
2025-11-10,EMR,3076,1468,1608,3076,ITH,ITH5,8,Emilia-Romagna
2025-10-17,FVG,375,186,189,375,ITH,ITH4,6,Friuli-Venezia Giulia
2025-10-17,CAL,26,14,12,26,ITF,ITF6,18,Calabria
2025-11-18,UMB,178,79,99,178,ITI,ITI2,10,Umbria
2026-01-05,PIE,40,18,22,40,ITC,ITC1,1,Piemonte
2025-11-08,PAB,473,236,237,473,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-12-04,SIC,139,71,68,139,ITG,ITG1,19,Sicilia
2025-10-18,PAB,1,0,1,1,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-11-05,UMB,370,184,186,370,ITI,ITI2,10,Umbria
2025-12-09,VEN,508,242,266,508,ITH,ITH3,5,Veneto
2025-10-29,PIE,1864,853,1011,1864,ITC,ITC1,1,Piemonte
2025-11-18,SAR,410,215,195,410,ITG,ITG2,20,Sardegna
2025-12-30,SAR,32,13,19,32,ITG,ITG2,20,Sardegna
2025-10-09,PAT,12,5,7,12,ITH,ITH2,4,Provincia Autonoma Trento
2025-11-13,CAL,130,69,61,130,ITF,ITF6,18,Calabria
2025-12-12,LOM,1075,502,573,1075,ITC,ITC4,3,Lombardia
2025-11-21,PAB,85,30,55,85,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-10-25,LOM,6748,3326,3422,6748,ITC,ITC4,3,Lombardia
2026-02-16,SAR,15,6,9,15,ITG,ITG2,20,Sardegna
2026-01-27,VEN,3,2,1,3,ITH,ITH3,5,Veneto
2025-12-15,VDA,14,10,4,14,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2026-01-14,UMB,32,17,15,32,ITI,ITI2,10,Umbria
2025-11-19,PUG,373,200,173,373,ITF,ITF4,16,Puglia
2025-10-21,PAT,225,119,106,225,ITH,ITH2,4,Provincia Autonoma Trento
2025-12-04,MAR,126,65,61,126,ITI,ITI3,11,Marche
2025-12-24,LOM,116,61,55,116,ITC,ITC4,3,Lombardia
2025-10-22,BAS,22,13,9,22,ITF,ITF5,17,Basilicata
2025-11-07,SIC,100,50,50,100,ITG,ITG1,19,Sicilia
2026-01-03,LOM,9,6,3,9,ITC,ITC4,3,Lombardia
2025-12-22,UMB,39,14,25,39,ITI,ITI2,10,Umbria
2025-10-25,PAB,37,17,20,37,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-11-19,TOS,1294,601,693,1294,ITI,ITI1,9,Toscana
2025-12-18,VEN,306,131,175,306,ITH,ITH3,5,Veneto
2025-10-13,LOM,4152,2101,2051,4152,ITC,ITC4,3,Lombardia
2025-10-21,PUG,303,160,143,303,ITF,ITF4,16,Puglia
2025-10-21,CAM,12,8,4,12,ITF,ITF3,15,Campania
2025-11-03,CAL,45,26,19,45,ITF,ITF6,18,Calabria
2026-03-13,PIE,18,8,10,18,ITC,ITC1,1,Piemonte
2025-12-04,VDA,11,4,7,11,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-12-18,PAT,55,23,32,55,ITH,ITH2,4,Provincia Autonoma Trento
2026-01-07,CAM,12,4,8,12,ITF,ITF3,15,Campania
2026-02-20,LOM,20,9,11,20,ITC,ITC4,3,Lombardia
2025-11-17,UMB,83,35,48,83,ITI,ITI2,10,Umbria
2026-01-08,MAR,11,5,6,11,ITI,ITI3,11,Marche
2025-11-14,ABR,149,74,75,149,ITF,ITF1,13,Abruzzo
2025-11-01,PUG,13,5,8,13,ITF,ITF4,16,Puglia
2025-11-21,UMB,101,44,57,101,ITI,ITI2,10,Umbria
2025-11-13,PIE,1852,838,1014,1852,ITC,ITC1,1,Piemonte
2026-02-09,SAR,14,8,6,14,ITG,ITG2,20,Sardegna
2025-11-19,PAT,420,200,220,420,ITH,ITH2,4,Provincia Autonoma Trento
2026-01-18,EMR,4,2,2,4,ITH,ITH5,8,Emilia-Romagna
2025-10-11,LOM,1997,1014,983,1997,ITC,ITC4,3,Lombardia
2026-02-03,VEN,8,2,6,8,ITH,ITH3,5,Veneto
2025-11-27,PUG,467,255,212,467,ITF,ITF4,16,Puglia
2025-12-18,PUG,186,94,92,186,ITF,ITF4,16,Puglia
2026-02-05,FVG,7,3,4,7,ITH,ITH4,6,Friuli-Venezia Giulia
2025-11-26,PIE,1055,500,555,1055,ITC,ITC1,1,Piemonte
2025-11-14,LOM,5570,2593,2977,5570,ITC,ITC4,3,Lombardia
2025-10-28,VEN,2235,1035,1200,2235,ITH,ITH3,5,Veneto
2025-12-23,SAR,49,22,27,49,ITG,ITG2,20,Sardegna
2026-01-21,SIC,12,5,7,12,ITG,ITG1,19,Sicilia
2025-12-05,MAR,112,43,69,112,ITI,ITI3,11,Marche
2025-11-01,TOS,27,12,15,27,ITI,ITI1,9,Toscana
2025-11-22,LAZ,487,253,234,487,ITI,ITI4,12,Lazio
2025-10-27,EMR,4247,2031,2216,4247,ITH,ITH5,8,Emilia-Romagna
2025-12-30,PIE,122,49,73,122,ITC,ITC1,1,Piemonte
2025-12-13,SIC,28,15,13,28,ITG,ITG1,19,Sicilia
2025-11-15,PAB,14,3,11,14,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-11-17,SAR,281,152,129,281,ITG,ITG2,20,Sardegna
2025-10-29,CAL,53,27,26,53,ITF,ITF6,18,Calabria
2025-11-26,CAL,34,16,18,34,ITF,ITF6,18,Calabria
2025-11-18,LOM,4724,2108,2616,4724,ITC,ITC4,3,Lombardia
2025-12-17,LAZ,418,213,205,418,ITI,ITI4,12,Lazio
2025-11-04,FVG,834,373,461,834,ITH,ITH4,6,Friuli-Venezia Giulia
2025-11-03,FVG,409,201,208,409,ITH,ITH4,6,Friuli-Venezia Giulia
2026-02-02,TOS,6,5,1,6,ITI,ITI1,9,Toscana
2025-11-21,LIG,151,72,79,151,ITC,ITC3,7,Liguria
2026-02-03,EMR,17,8,9,17,ITH,ITH5,8,Emilia-Romagna
2026-02-20,SAR,3,1,2,3,ITG,ITG2,20,Sardegna
2025-12-29,ABR,12,5,7,12,ITF,ITF1,13,Abruzzo
2026-03-27,FVG,1,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2026-02-27,LOM,16,6,10,16,ITC,ITC4,3,Lombardia
2025-12-07,PIE,31,15,16,31,ITC,ITC1,1,Piemonte
2026-02-02,LAZ,10,5,5,10,ITI,ITI4,12,Lazio
2026-02-04,LAZ,8,4,4,8,ITI,ITI4,12,Lazio
2026-01-25,TOS,3,0,3,3,ITI,ITI1,9,Toscana
2025-12-14,PUG,5,3,2,5,ITF,ITF4,16,Puglia
2026-02-24,TOS,2,1,1,2,ITI,ITI1,9,Toscana
2026-01-19,VDA,4,2,2,4,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2026-01-04,TOS,1,0,1,1,ITI,ITI1,9,Toscana
2025-11-11,VDA,73,33,40,73,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2026-03-02,TOS,3,3,0,3,ITI,ITI1,9,Toscana
2025-12-20,MAR,17,14,3,17,ITI,ITI3,11,Marche
2025-11-15,LIG,8,4,4,8,ITC,ITC3,7,Liguria
2026-04-15,LOM,10,4,6,10,ITC,ITC4,3,Lombardia
2026-01-30,SAR,1,0,1,1,ITG,ITG2,20,Sardegna
2025-10-25,UMB,11,6,5,11,ITI,ITI2,10,Umbria
2026-02-23,FVG,6,4,2,6,ITH,ITH4,6,Friuli-Venezia Giulia
2025-12-03,PUG,222,108,114,222,ITF,ITF4,16,Puglia
2025-11-01,EMR,277,127,150,277,ITH,ITH5,8,Emilia-Romagna
2025-11-10,VDA,46,26,20,46,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-12-19,TOS,257,122,135,257,ITI,ITI1,9,Toscana
2025-12-24,MAR,21,5,16,21,ITI,ITI3,11,Marche
2026-01-28,VEN,69,17,52,69,ITH,ITH3,5,Veneto
2025-11-16,PAB,23,14,9,23,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2026-01-29,SAR,5,4,1,5,ITG,ITG2,20,Sardegna
2026-02-13,PUG,13,6,7,13,ITF,ITF4,16,Puglia
2025-11-24,TOS,677,328,349,677,ITI,ITI1,9,Toscana
2026-01-08,SAR,47,24,23,47,ITG,ITG2,20,Sardegna
2025-10-24,EMR,5859,2881,2978,5859,ITH,ITH5,8,Emilia-Romagna
2025-12-01,EMR,1113,535,578,1113,ITH,ITH5,8,Emilia-Romagna
2025-11-25,CAL,28,10,18,28,ITF,ITF6,18,Calabria
2025-11-11,PIE,2018,935,1083,2018,ITC,ITC1,1,Piemonte
2025-12-02,PIE,743,347,396,743,ITC,ITC1,1,Piemonte
2025-12-01,SAR,308,155,153,308,ITG,ITG2,20,Sardegna
2025-12-12,PAB,23,9,14,23,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2026-02-06,EMR,49,32,17,49,ITH,ITH5,8,Emilia-Romagna
2025-12-11,FVG,219,85,134,219,ITH,ITH4,6,Friuli-Venezia Giulia
2025-10-17,PAB,309,164,145,309,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-10-30,FVG,826,385,441,826,ITH,ITH4,6,Friuli-Venezia Giulia
2025-11-13,SIC,134,76,58,134,ITG,ITG1,19,Sicilia
2025-12-03,PAT,146,69,77,146,ITH,ITH2,4,Provincia Autonoma Trento
2026-01-22,PUG,28,10,18,28,ITF,ITF4,16,Puglia
